route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible                                                                                                                                                                                                                                                
6500071801GL026,2025-10-092025-10-24004601,0046012025-10-09,,00460,,,,1                                                                                                                                                                                                                                                                                       
6500071801GL026,2025-10-262025-11-07004601,0046012025-10-26,,00460,,,,1                                                                                                                                                                                                                                                                                       
6500071801GL026,2025-11-092025-11-28004601,0046012025-11-09,,00460,,,,1                                                                                                                                                                                                                                                                                       
6500071801GL026,2025-11-302025-12-12004601,0046012025-11-30,,00460,,,,1                                                                                                                                                                                                                                                                                       
7180165000GL026,2025-10-092025-10-24004631,0046312025-10-09,,00463,,,,1                                                                                                                                                                                                                                                                                       
7180165000GL026,2025-10-262025-11-07004631,0046312025-10-26,,00463,,,,1                                                                                                                                                                                                                                                                                       
7180165000GL026,2025-11-092025-11-28004631,0046312025-11-09,,00463,,,,1                                                                                                                                                                                                                                                                                       
7180165000GL026,2025-11-302025-12-12004631,0046312025-11-30,,00463,,,,1                                                                                                                                                                                                                                                                                       
7180111511GL023,2025-10-092025-12-13005301,0053012025-10-09,,00530,,,,1                                                                                                                                                                                                                                                                                       
7180111511GL023,2025-10-092025-12-13005302,0053022025-10-09,,00530,,,,1                                                                                                                                                                                                                                                                                       
1151171801GL023,2025-10-092025-12-13005331,0053312025-10-09,,00533,,,,1                                                                                                                                                                                                                                                                                       
1151178400GL023,2025-10-092025-12-13005332,0053322025-10-09,,00533,,,,1                                                                                                                                                                                                                                                                                       
2030922100GL026,2025-10-092025-10-26005581,0055812025-10-09,,00558,,,,1                                                                                                                                                                                                                                                                                       
2210020309GL026,2025-10-092025-10-26005601,0056012025-10-09,,00560,,,,1                                                                                                                                                                                                                                                                                       
7180180100GL026,2025-10-092025-12-13005621,0056212025-10-09,,00562,,,,1                                                                                                                                                                                                                                                                                       
8010071801GL026,2025-10-092025-12-06005631,0056312025-10-09,,00563,,,,1                                                                                                                                                                                                                                                                                       
8010071801GL026,2025-12-082025-12-13005631,0056312025-12-08,,00563,,,,1                                                                                                                                                                                                                                                                                       
8010060000GL023,2025-10-092025-12-13006001,0060012025-10-09,,00600,,,,1                                                                                                                                                                                                                                                                                       
6000080100GL023,2025-10-092025-12-07006011,0060112025-10-09,,00601,,,,1                                                                                                                                                                                                                                                                                       
6000080100GL023,2025-12-092025-12-13006011,0060112025-12-09,,00601,,,,1                                                                                                                                                                                                                                                                                       
8010060000GL023,2025-10-092025-12-13006021,0060212025-10-09,,00602,,,,1                                                                                                                                                                                                                                                                                       
6000080100GL023,2025-10-092025-12-13006031,0060312025-10-09,,00603,,,,1                                                                                                                                                                                                                                                                                       
6000080100GL023,2025-10-092025-12-13006051,0060512025-10-09,,00605,,,,1                                                                                                                                                                                                                                                                                       
8010060000GL023,2025-10-092025-12-13006061,0060612025-10-09,,00606,,,,1                                                                                                                                                                                                                                                                                       
8010060000GL023,2025-10-092025-12-13006081,0060812025-10-09,,00608,,,,1                                                                                                                                                                                                                                                                                       
6000080100GL023,2025-10-092025-12-13006091,0060912025-10-09,,00609,,,,1                                                                                                                                                                                                                                                                                       
8010060000GL023,2025-10-092025-12-13006101,0061012025-10-09,,00610,,,,1                                                                                                                                                                                                                                                                                       
6000080100GL023,2025-10-092025-12-04006131,0061312025-10-09,,00613,,,,1                                                                                                                                                                                                                                                                                       
2230871801GL023,2025-10-092025-10-24006211,0062112025-10-09,,00621,,,,1                                                                                                                                                                                                                                                                                       
2230871801GL023,2025-10-252025-10-25006211,0062112025-10-25,,00621,,,,1                                                                                                                                                                                                                                                                                       
2230871801GL023,2025-10-272025-12-13006211,0062112025-10-27,,00621,,,,1                                                                                                                                                                                                                                                                                       
2210071801GL023,2025-10-092025-10-26006212,0062122025-10-09,,00621,,,,1                                                                                                                                                                                                                                                                                       
2210071801GL023,2025-10-272025-12-13006212,0062122025-10-27,,00621,,,,1                                                                                                                                                                                                                                                                                       
2230871801GL023,2025-10-092025-10-24006213,0062132025-10-09,,00621,,,,1                                                                                                                                                                                                                                                                                       
2230871801GL023,2025-10-252025-10-25006213,0062132025-10-25,,00621,,,,1                                                                                                                                                                                                                                                                                       
2230871801GL023,2025-10-272025-12-13006213,0062132025-10-27,,00621,,,,1                                                                                                                                                                                                                                                                                       
1510071801GL023,2025-10-092025-10-26006214,0062142025-10-09,,00621,,,,1                                                                                                                                                                                                                                                                                       
1510071801GL023,2025-10-272025-12-13006214,0062142025-10-27,,00621,,,,1                                                                                                                                                                                                                                                                                       
7180122308GL023,2025-10-092025-10-23006221,0062212025-10-09,,00622,,,,1                                                                                                                                                                                                                                                                                       
7180122308GL023,2025-10-242025-10-24006221,0062212025-10-24,,00622,,,,1                                                                                                                                                                                                                                                                                       
7180122308GL023,2025-10-262025-10-26006221,0062212025-10-26,,00622,,,,1                                                                                                                                                                                                                                                                                       
7180122308GL023,2025-10-272025-12-13006221,0062212025-10-27,,00622,,,,1                                                                                                                                                                                                                                                                                       
7180122100GL023,2025-10-092025-10-26006222,0062222025-10-09,,00622,,,,1                                                                                                                                                                                                                                                                                       
7180122100GL023,2025-10-272025-12-13006222,0062222025-10-27,,00622,,,,1                                                                                                                                                                                                                                                                                       
7180122308GL023,2025-10-092025-10-23006223,0062232025-10-09,,00622,,,,1                                                                                                                                                                                                                                                                                       
7180122308GL023,2025-10-242025-10-24006223,0062232025-10-24,,00622,,,,1                                                                                                                                                                                                                                                                                       
7180122308GL023,2025-10-262025-10-26006223,0062232025-10-26,,00622,,,,1                                                                                                                                                                                                                                                                                       
7180122308GL023,2025-10-272025-12-13006223,0062232025-10-27,,00622,,,,1                                                                                                                                                                                                                                                                                       
7180115100GL023,2025-10-092025-10-26006224,0062242025-10-09,,00622,,,,1                                                                                                                                                                                                                                                                                       
7180115100GL023,2025-10-272025-12-13006224,0062242025-10-27,,00622,,,,1                                                                                                                                                                                                                                                                                       
7180104040GL023,2025-10-092025-10-26006225,0062252025-10-09,,00622,,,,1                                                                                                                                                                                                                                                                                       
7180104040GL023,2025-10-272025-12-13006225,0062252025-10-27,,00622,,,,1                                                                                                                                                                                                                                                                                       
1120815100GL023,2025-10-092025-10-26006226,0062262025-10-09,,00622,,,,1                                                                                                                                                                                                                                                                                       
1120815100GL023,2025-10-272025-12-13006226,0062262025-10-27,,00622,,,,1                                                                                                                                                                                                                                                                                       
3141271801GL023,2025-10-092025-10-26006251,0062512025-10-09,,00625,,,,1                                                                                                                                                                                                                                                                                       
3141271801GL023,2025-10-272025-12-13006251,0062512025-10-27,,00625,,,,1                                                                                                                                                                                                                                                                                       
2210071801GL023,2025-10-092025-10-26006252,0062522025-10-09,,00625,,,,1                                                                                                                                                                                                                                                                                       
2210071801GL023,2025-10-272025-12-13006252,0062522025-10-27,,00625,,,,1                                                                                                                                                                                                                                                                                       
3141271801GL023,2025-10-092025-10-26006253,0062532025-10-09,,00625,,,,1                                                                                                                                                                                                                                                                                       
3141271801GL023,2025-10-272025-12-13006253,0062532025-10-27,,00625,,,,1                                                                                                                                                                                                                                                                                       
1510071801GL023,2025-10-092025-10-26006254,0062542025-10-09,,00625,,,,1                                                                                                                                                                                                                                                                                       
1510071801GL023,2025-10-272025-12-13006254,0062542025-10-27,,00625,,,,1                                                                                                                                                                                                                                                                                       
7180131412GL023,2025-10-092025-10-26006261,0062612025-10-09,,00626,,,,1                                                                                                                                                                                                                                                                                       
7180131412GL023,2025-10-272025-12-13006261,0062612025-10-27,,00626,,,,1                                                                                                                                                                                                                                                                                       
7180122100GL023,2025-10-092025-10-26006262,0062622025-10-09,,00626,,,,1                                                                                                                                                                                                                                                                                       
7180122100GL023,2025-10-272025-12-13006262,0062622025-10-27,,00626,,,,1                                                                                                                                                                                                                                                                                       
7180131412GL023,2025-10-092025-10-26006263,0062632025-10-09,,00626,,,,1                                                                                                                                                                                                                                                                                       
7180131412GL023,2025-10-272025-12-13006263,0062632025-10-27,,00626,,,,1                                                                                                                                                                                                                                                                                       
7180115100GL023,2025-10-092025-10-26006264,0062642025-10-09,,00626,,,,1                                                                                                                                                                                                                                                                                       
7180115100GL023,2025-10-272025-12-13006264,0062642025-10-27,,00626,,,,1                                                                                                                                                                                                                                                                                       
7180104040GL023,2025-10-092025-10-26006265,0062652025-10-09,,00626,,,,1                                                                                                                                                                                                                                                                                       
7180104040GL023,2025-10-272025-12-13006265,0062652025-10-27,,00626,,,,1                                                                                                                                                                                                                                                                                       
1120815100GL023,2025-10-092025-10-26006266,0062662025-10-09,,00626,,,,1                                                                                                                                                                                                                                                                                       
1120815100GL023,2025-10-272025-12-13006266,0062662025-10-27,,00626,,,,1                                                                                                                                                                                                                                                                                       
