service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date                                                                                                                                                                                                                                                                       
2025-11-302025-12-12004601,1,1,1,1,1,1,1,20251130,20251212                                                                                                                                                                                                                                                                                                    
2025-10-092025-10-24004631,1,1,1,1,1,1,1,20251009,20251024                                                                                                                                                                                                                                                                                                    
2025-10-262025-11-07004631,1,1,1,1,1,1,1,20251026,20251107                                                                                                                                                                                                                                                                                                    
2025-11-092025-11-28004631,1,1,1,1,1,1,1,20251109,20251128                                                                                                                                                                                                                                                                                                    
2025-11-302025-12-12004631,1,1,1,1,1,1,1,20251130,20251212                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-13005301,1,1,1,1,1,1,1,20251009,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-13005302,1,1,1,1,1,1,1,20251009,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-13005331,1,1,1,1,1,1,1,20251009,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-13005332,1,1,1,1,1,1,1,20251009,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-10-26005581,1,1,1,1,1,1,1,20251009,20251026                                                                                                                                                                                                                                                                                                    
2025-10-092025-10-26005601,1,1,1,1,1,1,1,20251009,20251026                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-13005621,1,1,1,1,1,1,1,20251009,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-06005631,1,1,1,1,1,1,1,20251009,20251206                                                                                                                                                                                                                                                                                                    
2025-12-082025-12-13005631,1,1,1,1,1,1,1,20251208,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-13006001,1,1,1,1,1,1,1,20251009,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-07006011,1,1,1,1,1,1,1,20251009,20251207                                                                                                                                                                                                                                                                                                    
2025-12-092025-12-13006011,1,1,1,1,1,1,1,20251209,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-13006021,1,1,1,1,1,1,1,20251009,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-13006031,1,1,1,1,1,1,1,20251009,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-13006051,1,1,1,1,1,1,1,20251009,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-13006061,1,1,1,1,1,1,1,20251009,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-13006081,1,1,1,1,1,1,1,20251009,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-13006091,1,1,1,1,1,1,1,20251009,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-13006101,1,1,1,1,1,1,1,20251009,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-04006131,1,1,1,1,1,1,1,20251009,20251204                                                                                                                                                                                                                                                                                                    
2025-10-092025-10-24006211,1,1,1,1,1,1,1,20251009,20251024                                                                                                                                                                                                                                                                                                    
2025-10-252025-10-25006211,1,1,1,1,1,1,1,20251025,20251025                                                                                                                                                                                                                                                                                                    
2025-10-272025-12-13006211,1,1,1,1,1,1,1,20251027,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-10-26006212,1,1,1,1,1,1,1,20251009,20251026                                                                                                                                                                                                                                                                                                    
2025-10-272025-12-13006212,1,1,1,1,1,1,1,20251027,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-10-24006213,1,1,1,1,1,1,1,20251009,20251024                                                                                                                                                                                                                                                                                                    
2025-10-252025-10-25006213,1,1,1,1,1,1,1,20251025,20251025                                                                                                                                                                                                                                                                                                    
2025-10-272025-12-13006213,1,1,1,1,1,1,1,20251027,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-10-26006214,1,1,1,1,1,1,1,20251009,20251026                                                                                                                                                                                                                                                                                                    
