service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date                                                                                                                                                                                                                                                                       
2025-12-252025-12-30032121,1,1,1,1,1,1,1,20251225,20251230                                                                                                                                                                                                                                                                                                    
2026-01-012026-02-28032121,1,1,1,1,1,1,1,20260101,20260228                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-13032721,1,1,1,1,1,1,1,20251009,20251213                                                                                                                                                                                                                                                                                                    
2025-12-142026-02-28032721,1,1,1,1,1,1,1,20251214,20260228                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-13032722,1,1,1,1,1,1,1,20251009,20251213                                                                                                                                                                                                                                                                                                    
2025-12-142026-02-28032722,1,1,1,1,1,1,1,20251214,20260228                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-13032723,1,1,1,1,1,1,1,20251009,20251213                                                                                                                                                                                                                                                                                                    
2025-12-142026-02-28032723,1,1,1,1,1,1,1,20251214,20260228                                                                                                                                                                                                                                                                                                    
2025-10-092025-11-09033011,1,1,1,1,1,1,1,20251009,20251109                                                                                                                                                                                                                                                                                                    
2025-11-112025-12-07033011,1,1,1,1,1,1,1,20251111,20251207                                                                                                                                                                                                                                                                                                    
2025-12-092025-12-13033011,1,1,1,1,1,1,1,20251209,20251213                                                                                                                                                                                                                                                                                                    
2026-01-102026-02-28033011,1,1,1,1,1,1,1,20260110,20260228                                                                                                                                                                                                                                                                                                    
2025-10-092025-11-09033012,1,1,1,1,1,1,1,20251009,20251109                                                                                                                                                                                                                                                                                                    
2025-11-102025-11-10033012,1,1,1,1,1,1,1,20251110,20251110                                                                                                                                                                                                                                                                                                    
2025-11-112025-12-07033012,1,1,1,1,1,1,1,20251111,20251207                                                                                                                                                                                                                                                                                                    
2025-12-082025-12-08033012,1,1,1,1,1,1,1,20251208,20251208                                                                                                                                                                                                                                                                                                    
2025-12-092025-12-13033012,1,1,1,1,1,1,1,20251209,20251213                                                                                                                                                                                                                                                                                                    
2025-12-142025-12-14033012,1,1,1,1,1,1,1,20251214,20251214                                                                                                                                                                                                                                                                                                    
2025-12-152025-12-24033012,1,1,1,1,1,1,1,20251215,20251224                                                                                                                                                                                                                                                                                                    
2025-12-252025-12-28033012,1,1,1,1,1,1,1,20251225,20251228                                                                                                                                                                                                                                                                                                    
2025-12-292025-12-31033012,1,1,1,1,1,1,1,20251229,20251231                                                                                                                                                                                                                                                                                                    
2026-01-012026-01-04033012,1,1,1,1,1,1,1,20260101,20260104                                                                                                                                                                                                                                                                                                    
2026-01-052026-01-08033012,1,1,1,1,1,1,1,20260105,20260108                                                                                                                                                                                                                                                                                                    
2026-01-092026-02-28033012,1,1,1,1,1,1,1,20260109,20260228                                                                                                                                                                                                                                                                                                    
2025-10-092025-11-09033013,1,1,1,1,1,1,1,20251009,20251109                                                                                                                                                                                                                                                                                                    
2025-11-102025-11-10033013,1,1,1,1,1,1,1,20251110,20251110                                                                                                                                                                                                                                                                                                    
2025-11-112025-12-07033013,1,1,1,1,1,1,1,20251111,20251207                                                                                                                                                                                                                                                                                                    
2025-12-082025-12-08033013,1,1,1,1,1,1,1,20251208,20251208                                                                                                                                                                                                                                                                                                    
2025-12-092025-12-13033013,1,1,1,1,1,1,1,20251209,20251213                                                                                                                                                                                                                                                                                                    
2025-12-152025-12-24033013,1,1,1,1,1,1,1,20251215,20251224                                                                                                                                                                                                                                                                                                    
2025-12-252025-12-28033013,1,1,1,1,1,1,1,20251225,20251228                                                                                                                                                                                                                                                                                                    
2025-12-292025-12-31033013,1,1,1,1,1,1,1,20251229,20251231                                                                                                                                                                                                                                                                                                    
2026-01-012026-01-04033013,1,1,1,1,1,1,1,20260101,20260104                                                                                                                                                                                                                                                                                                    
2026-01-052026-01-08033013,1,1,1,1,1,1,1,20260105,20260108                                                                                                                                                                                                                                                                                                    
2026-01-092026-02-28033013,1,1,1,1,1,1,1,20260109,20260228                                                                                                                                                                                                                                                                                                    
2025-11-102025-11-10033014,1,1,1,1,1,1,1,20251110,20251110                                                                                                                                                                                                                                                                                                    
2025-12-082025-12-08033014,1,1,1,1,1,1,1,20251208,20251208                                                                                                                                                                                                                                                                                                    
2025-12-152025-12-24033014,1,1,1,1,1,1,1,20251215,20251224                                                                                                                                                                                                                                                                                                    
2025-12-292025-12-31033014,1,1,1,1,1,1,1,20251229,20251231                                                                                                                                                                                                                                                                                                    
2026-01-052026-01-08033014,1,1,1,1,1,1,1,20260105,20260108                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-13033015,1,1,1,1,1,1,1,20251009,20251213                                                                                                                                                                                                                                                                                                    
2025-12-142026-02-28033015,1,1,1,1,1,1,1,20251214,20260228                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-13033016,1,1,1,1,1,1,1,20251009,20251213                                                                                                                                                                                                                                                                                                    
2025-12-142026-02-28033016,1,1,1,1,1,1,1,20251214,20260228                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-13033021,1,1,1,1,1,1,1,20251009,20251213                                                                                                                                                                                                                                                                                                    
2025-12-142025-12-24033021,1,1,1,1,1,1,1,20251214,20251224                                                                                                                                                                                                                                                                                                    
2025-12-262025-12-31033021,1,1,1,1,1,1,1,20251226,20251231                                                                                                                                                                                                                                                                                                    
2026-01-022026-01-05033021,1,1,1,1,1,1,1,20260102,20260105                                                                                                                                                                                                                                                                                                    
2026-01-072026-02-28033021,1,1,1,1,1,1,1,20260107,20260228                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-13033022,1,1,1,1,1,1,1,20251009,20251213                                                                                                                                                                                                                                                                                                    
2025-12-142025-12-24033022,1,1,1,1,1,1,1,20251214,20251224                                                                                                                                                                                                                                                                                                    
2025-12-262025-12-31033022,1,1,1,1,1,1,1,20251226,20251231                                                                                                                                                                                                                                                                                                    
2026-01-022026-01-05033022,1,1,1,1,1,1,1,20260102,20260105                                                                                                                                                                                                                                                                                                    
2026-01-072026-02-28033022,1,1,1,1,1,1,1,20260107,20260228                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-13033031,1,1,1,1,1,1,1,20251009,20251213                                                                                                                                                                                                                                                                                                    
2025-12-142026-02-28033031,1,1,1,1,1,1,1,20251214,20260228                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-13033041,1,1,1,1,1,1,1,20251009,20251213                                                                                                                                                                                                                                                                                                    
2025-12-142026-02-28033041,1,1,1,1,1,1,1,20251214,20260228                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-13033051,1,1,1,1,1,1,1,20251009,20251213                                                                                                                                                                                                                                                                                                    
2025-12-142026-02-28033051,1,1,1,1,1,1,1,20251214,20260228                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-13033052,1,1,1,1,1,1,1,20251009,20251213                                                                                                                                                                                                                                                                                                    
2025-12-142026-02-28033052,1,1,1,1,1,1,1,20251214,20260228                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-13033053,1,1,1,1,1,1,1,20251009,20251213                                                                                                                                                                                                                                                                                                    
2025-12-142026-02-28033053,1,1,1,1,1,1,1,20251214,20260228                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-13033081,1,1,1,1,1,1,1,20251009,20251213                                                                                                                                                                                                                                                                                                    
2025-12-142026-02-28033081,1,1,1,1,1,1,1,20251214,20260228                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-13033082,1,1,1,1,1,1,1,20251009,20251213                                                                                                                                                                                                                                                                                                    
2025-12-142026-02-28033082,1,1,1,1,1,1,1,20251214,20260228                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-13033083,1,1,1,1,1,1,1,20251009,20251213                                                                                                                                                                                                                                                                                                    
2025-12-142026-02-28033083,1,1,1,1,1,1,1,20251214,20260228                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-13033091,1,1,1,1,1,1,1,20251009,20251213                                                                                                                                                                                                                                                                                                    
2025-12-142025-12-23033091,1,1,1,1,1,1,1,20251214,20251223                                                                                                                                                                                                                                                                                                    
2025-12-252026-01-04033091,1,1,1,1,1,1,1,20251225,20260104                                                                                                                                                                                                                                                                                                    
2026-01-062026-02-28033091,1,1,1,1,1,1,1,20260106,20260228                                                                                                                                                                                                                                                                                                    
2025-10-092025-10-11033092,1,1,1,1,1,1,1,20251009,20251011                                                                                                                                                                                                                                                                                                    
2025-10-122025-10-12033092,1,1,1,1,1,1,1,20251012,20251012                                                                                                                                                                                                                                                                                                    
2025-10-132025-10-13033092,1,1,1,1,1,1,1,20251013,20251013                                                                                                                                                                                                                                                                                                    
2025-10-142025-12-12033092,1,1,1,1,1,1,1,20251014,20251212                                                                                                                                                                                                                                                                                                    
2025-12-142025-12-23033092,1,1,1,1,1,1,1,20251214,20251223                                                                                                                                                                                                                                                                                                    
2025-12-252026-01-04033092,1,1,1,1,1,1,1,20251225,20260104                                                                                                                                                                                                                                                                                                    
2026-01-062026-02-28033092,1,1,1,1,1,1,1,20260106,20260228                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-13033101,1,1,1,1,1,1,1,20251009,20251213                                                                                                                                                                                                                                                                                                    
2025-12-142025-12-23033101,1,1,1,1,1,1,1,20251214,20251223                                                                                                                                                                                                                                                                                                    
2025-12-252026-02-28033101,1,1,1,1,1,1,1,20251225,20260228                                                                                                                                                                                                                                                                                                    
2025-10-092025-11-09033221,1,1,1,1,1,1,1,20251009,20251109                                                                                                                                                                                                                                                                                                    
2025-11-102025-11-10033221,1,1,1,1,1,1,1,20251110,20251110                                                                                                                                                                                                                                                                                                    
2025-11-112025-12-07033221,1,1,1,1,1,1,1,20251111,20251207                                                                                                                                                                                                                                                                                                    
2025-12-082025-12-08033221,1,1,1,1,1,1,1,20251208,20251208                                                                                                                                                                                                                                                                                                    
2025-12-092025-12-13033221,1,1,1,1,1,1,1,20251209,20251213                                                                                                                                                                                                                                                                                                    
2025-12-142026-02-28033221,1,1,1,1,1,1,1,20251214,20260228                                                                                                                                                                                                                                                                                                    
2025-10-092025-11-09033222,1,1,1,1,1,1,1,20251009,20251109                                                                                                                                                                                                                                                                                                    
2025-11-102025-11-10033222,1,1,1,1,1,1,1,20251110,20251110                                                                                                                                                                                                                                                                                                    
2025-11-112025-12-07033222,1,1,1,1,1,1,1,20251111,20251207                                                                                                                                                                                                                                                                                                    
2025-12-082025-12-08033222,1,1,1,1,1,1,1,20251208,20251208                                                                                                                                                                                                                                                                                                    
2025-12-092025-12-13033222,1,1,1,1,1,1,1,20251209,20251213                                                                                                                                                                                                                                                                                                    
2025-12-142026-02-28033222,1,1,1,1,1,1,1,20251214,20260228                                                                                                                                                                                                                                                                                                    
2025-11-282025-12-06033631,1,1,1,1,1,1,1,20251128,20251206                                                                                                                                                                                                                                                                                                    
2025-12-082025-12-14033631,1,1,1,1,1,1,1,20251208,20251214                                                                                                                                                                                                                                                                                                    
2025-12-152025-12-21033631,1,1,1,1,1,1,1,20251215,20251221                                                                                                                                                                                                                                                                                                    
2025-12-222025-12-28033631,1,1,1,1,1,1,1,20251222,20251228                                                                                                                                                                                                                                                                                                    
2025-12-292026-01-04033631,1,1,1,1,1,1,1,20251229,20260104                                                                                                                                                                                                                                                                                                    
2026-01-052026-01-11033631,1,1,1,1,1,1,1,20260105,20260111                                                                                                                                                                                                                                                                                                    
2026-01-122026-02-01033631,1,1,1,1,1,1,1,20260112,20260201                                                                                                                                                                                                                                                                                                    
2025-10-092025-11-09033731,1,1,1,1,1,1,1,20251009,20251109                                                                                                                                                                                                                                                                                                    
2025-11-102025-11-10033731,1,1,1,1,1,1,1,20251110,20251110                                                                                                                                                                                                                                                                                                    
2025-11-112025-12-07033731,1,1,1,1,1,1,1,20251111,20251207                                                                                                                                                                                                                                                                                                    
2025-12-082025-12-08033731,1,1,1,1,1,1,1,20251208,20251208                                                                                                                                                                                                                                                                                                    
2025-12-092025-12-13033731,1,1,1,1,1,1,1,20251209,20251213                                                                                                                                                                                                                                                                                                    
2025-12-142026-02-28033731,1,1,1,1,1,1,1,20251214,20260228                                                                                                                                                                                                                                                                                                    
2025-11-282025-12-06035921,1,1,1,1,1,1,1,20251128,20251206                                                                                                                                                                                                                                                                                                    
2025-12-082025-12-14035921,1,1,1,1,1,1,1,20251208,20251214                                                                                                                                                                                                                                                                                                    
2025-12-152025-12-21035921,1,1,1,1,1,1,1,20251215,20251221                                                                                                                                                                                                                                                                                                    
2025-12-222025-12-28035921,1,1,1,1,1,1,1,20251222,20251228                                                                                                                                                                                                                                                                                                    
2025-12-292026-01-04035921,1,1,1,1,1,1,1,20251229,20260104                                                                                                                                                                                                                                                                                                    
2026-01-052026-01-11035921,1,1,1,1,1,1,1,20260105,20260111                                                                                                                                                                                                                                                                                                    
2026-01-122026-02-01035921,1,1,1,1,1,1,1,20260112,20260201                                                                                                                                                                                                                                                                                                    
2025-10-092025-11-08036101,1,1,1,1,1,1,1,20251009,20251108                                                                                                                                                                                                                                                                                                    
2025-11-102025-11-10036101,1,1,1,1,1,1,1,20251110,20251110                                                                                                                                                                                                                                                                                                    
2025-11-112025-12-06036101,1,1,1,1,1,1,1,20251111,20251206                                                                                                                                                                                                                                                                                                    
2025-12-082025-12-08036101,1,1,1,1,1,1,1,20251208,20251208                                                                                                                                                                                                                                                                                                    
2025-12-092025-12-13036101,1,1,1,1,1,1,1,20251209,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-13036621,1,1,1,1,1,1,1,20251009,20251213                                                                                                                                                                                                                                                                                                    
2025-12-142025-12-24036621,1,1,1,1,1,1,1,20251214,20251224                                                                                                                                                                                                                                                                                                    
2025-12-262025-12-31036621,1,1,1,1,1,1,1,20251226,20251231                                                                                                                                                                                                                                                                                                    
2026-01-022026-02-28036621,1,1,1,1,1,1,1,20260102,20260228                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-13036622,1,1,1,1,1,1,1,20251009,20251213                                                                                                                                                                                                                                                                                                    
2025-12-142025-12-24036622,1,1,1,1,1,1,1,20251214,20251224                                                                                                                                                                                                                                                                                                    
2025-12-262025-12-31036622,1,1,1,1,1,1,1,20251226,20251231                                                                                                                                                                                                                                                                                                    
2026-01-022026-02-28036622,1,1,1,1,1,1,1,20260102,20260228                                                                                                                                                                                                                                                                                                    
